original_audio,folder,start_time,end_time,duration,vocalization_type,label_activity,status
20211120_102109_192.wav,Raw_recordings_Day1_pt1,32.901333,33.293333,0.392,ECT,ORD,matched
20211120_102109_192.wav,Raw_recordings_Day1_pt1,34.624,39.168,4.544,ECT,ORD,matched
20211120_102109_192.wav,Raw_recordings_Day1_pt1,46.250667,48.664,2.413333,ECT,ORD,matched
20211120_102109_192.wav,Raw_recordings_Day1_pt1,52.066667,52.501333,0.434666,W,ORD,matched
20211120_102109_192.wav,Raw_recordings_Day1_pt1,52.24,53.373333,1.133333,ECT,ORD,matched
20211120_102109_192.wav,Raw_recordings_Day1_pt1,53.586667,55.442667,1.856,ECT,ORD,matched
20211120_102109_192.wav,Raw_recordings_Day1_pt1,55.554667,56.826667,1.272,ECT,ORD,matched
20211120_102109_192.wav,Raw_recordings_Day1_pt1,57.104,58.637333,1.533333,ECT,ORD,matched
20211120_102109_192.wav,Raw_recordings_Day1_pt1,79.042667,79.821333,0.778666,BPS,ORD,matched
20211120_102109_192.wav,Raw_recordings_Day1_pt1,80.442667,82.285333,1.842666,ECT,ORD,matched
20211120_102109_192.wav,Raw_recordings_Day1_pt1,89.053333,90.373333,1.32,ECT,ORD,matched
20211120_102109_192.wav,Raw_recordings_Day1_pt1,109.370667,109.845333,0.474666,BPS,ORD,matched
20211120_102109_192.wav,Raw_recordings_Day1_pt1,119.28,119.786667,0.506667,BPS,ORD,matched
20211120_102109_192.wav,Raw_recordings_Day1_pt1,132.170667,132.426667,0.256,ECT,ORD,matched
20211120_102109_192.wav,Raw_recordings_Day1_pt1,133.514667,135.208,1.693333,ECT,ORD,matched
20211120_102109_192.wav,Raw_recordings_Day1_pt1,136.584,137.642667,1.058667,ECT,ORD,matched
20211120_102109_192.wav,Raw_recordings_Day1_pt1,138.938667,139.901333,0.962666,ECT,ORD,matched
20211120_102109_192.wav,Raw_recordings_Day1_pt1,141.992,143.904,1.912,ECT,ORD,matched
